# BUSCO version is: 5.8.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	Aip_017731-T1	4088.2	1899	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	Aip_000386-T1	2521.3	1750	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	Aip_019680-T1	746.9	676	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Complete	Aip_007019-T1	2423.4	1876	https://v10-1.orthodb.org/?query=14776at33208	Translational activator Gcn1
16244at33208	Complete	Aip_000308-T1	2803.1	1694	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	Aip_023021-T1	705.2	573	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Complete	Aip_027581-T1	865.7	565	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
49474at33208	Complete	Aip_011522-T1	1627.4	1170	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	Aip_003466-T1	1366.9	1040	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	Aip_009057-T1	1328.0	920	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	Aip_027489-T1	939.6	507	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	Aip_000848-T1	1953.9	924	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Complete	Aip_019334-T1	344.6	439	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Missing
66018at33208	Complete	Aip_007750-T1	1551.2	870	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
