# BUSCO version is: 5.8.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
5951at33208	Complete	JBWBEE010000892.1	61326	47165	-	3902.3	1775	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	JBWBEE010000004.1	556487	581173	+	2507.8	1750	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	JBWBEE010001172.1	25260	47001	+	981.7	929	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Complete	JBWBEE010000160.1	17001	48160	+	2274.8	1794	https://v10-1.orthodb.org/?query=14776at33208	Translational activator Gcn1
16244at33208	Complete	JBWBEE010000004.1	17635	43836	+	2800.5	1694	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	JBWBEE010001888.1	19917	12170	-	697.8	538	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Complete	JBWBEE010003843.1	171	7159	+	783.7	580	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
49474at33208	Complete	JBWBEE010000368.1	73449	131184	+	1627.9	1170	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	JBWBEE010000054.1	286107	267758	-	1274.4	1040	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	JBWBEE010000243.1	126104	88697	-	1318.9	920	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	JBWBEE010003785.1	12047	92	-	1130.4	648	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	JBWBEE010000009.1	391870	382875	-	1953.9	924	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Complete	JBWBEE010001122.1	15883	25145	+	352.6	439	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Complete	JBWBEE010003043.1	15799	3626	-	991.6	664	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	JBWBEE010000189.1	134755	152685	+	1569.4	870	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	JBWBEE010001257.1	28529	3997	-	587.1	524	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Complete	JBWBEE010001180.1	7359	20525	+	752.2	741	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	JBWBEE010000001.1	411545	404557	-	890.3	519	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	JBWBEE010000098.1	4585	431	-	422.4	327	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Complete	JBWBEE010000118.1	168312	157170	-	404.4	508	https://v10-1.orthodb.org/?query=92367at33208	WD40 repeat
99614at33208	Complete	JBWBEE010000162.1	28131	41196	+	1435.9	930	https://v10-1.orthodb.org/?query=99614at33208	WASH complex, subunit strumpellin
99987at33208	Complete	JBWBEE010001179.1	48323	29408	-	629.9	512	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Complete	JBWBEE010000620.1	38054	10320	-	1288.5	857	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	JBWBEE010000317.1	30211	59123	+	665.0	643	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	JBWBEE010000882.1	28261	43069	+	1350.0	781	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Complete	JBWBEE010003369.1	12013	2187	-	282.6	323	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Complete	JBWBEE010000014.1	63022	49707	-	463.7	510	https://v10-1.orthodb.org/?query=108764at33208	general transcription factor 3C polypeptide 3
109109at33208	Complete	JBWBEE010000239.1	155977	146863	-	1083.7	586	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
111730at33208	Complete	JBWBEE010000099.1	75652	69198	-	892.8	620	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111746at33208	Complete	JBWBEE010000793.1	65442	50513	-	708.4	605	https://v10-1.orthodb.org/?query=111746at33208	WD40 repeat
114954at33208	Missing
115878at33208	Complete	JBWBEE010000280.1	95058	118063	+	539.7	420	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Complete	JBWBEE010001992.1	12771	22863	+	1603.1	858	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
119252at33208	Complete	JBWBEE010000218.1	134146	161653	+	820.6	543	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
