Data S3. Exaiptasia diaphana (Aiptasia) F003 strain-specific gene models identified by OrthoVenn3, including orthogroup assignments and functional annotations.				
Orthologs Group ID	# Proteins	Protein ID	Swiss-Prot Hit	GO Annotation
cluster54	21	F003|KAN1694846.1;F003|KAN1695181.1;F003|KAN1696180.1;F003|KAN1696634.1;F003|KAN1697825.1;F003|KAN1698281.1;F003|KAN1698449.1;F003|KAN1698836.1;F003|KAN1700032.1;F003|KAN1700787.1;F003|KAN1700899.1;F003|KAN1701440.1;F003|KAN1701666.1;F003|KAN1702099.1;F003|KAN1702592.1;F003|KAN1703747.1;F003|KAN1704127.1;F003|KAN1704221.1;F003|KAN1705186.1;F003|KAN1707079.1;F003|KAN1718295.1		
cluster63	20	F003|KAN1696830.1;F003|KAN1697108.1;F003|KAN1697599.1;F003|KAN1697682.1;F003|KAN1698935.1;F003|KAN1699118.1;F003|KAN1699307.1;F003|KAN1700806.1;F003|KAN1700836.1;F003|KAN1700897.1;F003|KAN1701199.1;F003|KAN1701310.1;F003|KAN1701863.1;F003|KAN1702474.1;F003|KAN1703333.1;F003|KAN1704104.1;F003|KAN1704286.1;F003|KAN1705397.1;F003|KAN1705934.1;F003|KAN1706030.1		
cluster70	19	F003|KAN1694639.1;F003|KAN1694916.1;F003|KAN1695809.1;F003|KAN1696274.1;F003|KAN1697313.1;F003|KAN1697878.1;F003|KAN1700914.1;F003|KAN1701402.1;F003|KAN1702034.1;F003|KAN1702492.1;F003|KAN1702532.1;F003|KAN1703565.1;F003|KAN1703951.1;F003|KAN1704789.1;F003|KAN1705474.1;F003|KAN1705751.1;F003|KAN1706226.1;F003|KAN1707235.1;F003|KAN1707984.1		
cluster71	19	F003|KAN1694981.1;F003|KAN1695114.1;F003|KAN1695702.1;F003|KAN1695767.1;F003|KAN1697583.1;F003|KAN1697827.1;F003|KAN1698637.1;F003|KAN1699324.1;F003|KAN1699362.1;F003|KAN1700358.1;F003|KAN1700592.1;F003|KAN1700593.1;F003|KAN1701204.1;F003|KAN1701722.1;F003|KAN1701723.1;F003|KAN1702594.1;F003|KAN1707544.1;F003|KAN1712501.1;F003|KAN1716381.1	A5WFR0	GO:0000723; P:telomere maintenance; IEA:InterPro
cluster83	18	F003|KAN1695352.1;F003|KAN1695926.1;F003|KAN1696093.1;F003|KAN1696094.1;F003|KAN1696108.1;F003|KAN1697152.1;F003|KAN1697153.1;F003|KAN1697254.1;F003|KAN1698061.1;F003|KAN1698104.1;F003|KAN1700528.1;F003|KAN1700530.1;F003|KAN1700531.1;F003|KAN1701745.1;F003|KAN1703167.1;F003|KAN1704279.1;F003|KAN1706824.1;F003|KAN1716188.1		
cluster93	17	F003|KAN1697542.1;F003|KAN1697877.1;F003|KAN1698245.1;F003|KAN1698246.1;F003|KAN1699472.1;F003|KAN1699473.1;F003|KAN1699582.1;F003|KAN1700321.1;F003|KAN1700469.1;F003|KAN1702698.1;F003|KAN1704227.1;F003|KAN1706223.1;F003|KAN1706852.1;F003|KAN1712008.1;F003|KAN1717358.1;F003|KAN1720471.1;F003|KAN1722563.1		
cluster103	16	F003|KAN1695253.1;F003|KAN1696082.1;F003|KAN1696578.1;F003|KAN1696802.1;F003|KAN1698842.1;F003|KAN1698981.1;F003|KAN1701339.1;F003|KAN1702831.1;F003|KAN1703018.1;F003|KAN1703742.1;F003|KAN1707991.1;F003|KAN1719181.1;F003|KAN1719954.1;F003|KAN1721209.1;F003|KAN1721321.1;F003|KAN1721771.1	Q79665	GO:0039702; P:viral budding via host ESCRT complex; IEA:UniProtKB-KW
cluster104	16	F003|KAN1695426.1;F003|KAN1696545.1;F003|KAN1696546.1;F003|KAN1698162.1;F003|KAN1698163.1;F003|KAN1699249.1;F003|KAN1699250.1;F003|KAN1699558.1;F003|KAN1700811.1;F003|KAN1700982.1;F003|KAN1703440.1;F003|KAN1703644.1;F003|KAN1703645.1;F003|KAN1704193.1;F003|KAN1704260.1;F003|KAN1712508.1		
cluster123	15	F003|KAN1694946.1;F003|KAN1695121.1;F003|KAN1695540.1;F003|KAN1696763.1;F003|KAN1696939.1;F003|KAN1697806.1;F003|KAN1698949.1;F003|KAN1699103.1;F003|KAN1699913.1;F003|KAN1699914.1;F003|KAN1700102.1;F003|KAN1703199.1;F003|KAN1703678.1;F003|KAN1705638.1;F003|KAN1710862.1		
cluster146	14	F003|KAN1694637.1;F003|KAN1694697.1;F003|KAN1696513.1;F003|KAN1698430.1;F003|KAN1698944.1;F003|KAN1699227.1;F003|KAN1701751.1;F003|KAN1702635.1;F003|KAN1702636.1;F003|KAN1702637.1;F003|KAN1702638.1;F003|KAN1713549.1;F003|KAN1713995.1;F003|KAN1715633.1		
cluster174	13	F003|KAN1694744.1;F003|KAN1695763.1;F003|KAN1698280.1;F003|KAN1699171.1;F003|KAN1699172.1;F003|KAN1699597.1;F003|KAN1702816.1;F003|KAN1702916.1;F003|KAN1703298.1;F003|KAN1705584.1;F003|KAN1705621.1;F003|KAN1712009.1;F003|KAN1712014.1		
cluster175	13	F003|KAN1694879.1;F003|KAN1698085.1;F003|KAN1698552.1;F003|KAN1698826.1;F003|KAN1698858.1;F003|KAN1699289.1;F003|KAN1699562.1;F003|KAN1700155.1;F003|KAN1700430.1;F003|KAN1700825.1;F003|KAN1703432.1;F003|KAN1706953.1;F003|KAN1713657.1		
cluster176	13	F003|KAN1696659.1;F003|KAN1698632.1;F003|KAN1698633.1;F003|KAN1700991.1;F003|KAN1700992.1;F003|KAN1704889.1;F003|KAN1704890.1;F003|KAN1704891.1;F003|KAN1706152.1;F003|KAN1709942.1;F003|KAN1711029.1;F003|KAN1713454.1;F003|KAN1724291.1	Q91X17	GO:1990266; P:neutrophil migration; ISO:MGI
cluster177	13	F003|KAN1696984.1;F003|KAN1697413.1;F003|KAN1699022.1;F003|KAN1699039.1;F003|KAN1700909.1;F003|KAN1701405.1;F003|KAN1702226.1;F003|KAN1702674.1;F003|KAN1703814.1;F003|KAN1706217.1;F003|KAN1707167.1;F003|KAN1708313.1;F003|KAN1708965.1		
cluster210	12	F003|KAN1694672.1;F003|KAN1694955.1;F003|KAN1695052.1;F003|KAN1695756.1;F003|KAN1695757.1;F003|KAN1695852.1;F003|KAN1699031.1;F003|KAN1704639.1;F003|KAN1706008.1;F003|KAN1707033.1;F003|KAN1707034.1;F003|KAN1713469.1		
cluster211	12	F003|KAN1694727.1;F003|KAN1695537.1;F003|KAN1699093.1;F003|KAN1699639.1;F003|KAN1699686.1;F003|KAN1700958.1;F003|KAN1703375.1;F003|KAN1704029.1;F003|KAN1704653.1;F003|KAN1704997.1;F003|KAN1706077.1;F003|KAN1707891.1	Q91ZX6	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW
cluster212	12	F003|KAN1694872.1;F003|KAN1695392.1;F003|KAN1695866.1;F003|KAN1697683.1;F003|KAN1700496.1;F003|KAN1700959.1;F003|KAN1701227.1;F003|KAN1701573.1;F003|KAN1702190.1;F003|KAN1705624.1;F003|KAN1706222.1;F003|KAN1711502.1		
cluster213	12	F003|KAN1696061.1;F003|KAN1696756.1;F003|KAN1698343.1;F003|KAN1698889.1;F003|KAN1698890.1;F003|KAN1699094.1;F003|KAN1700366.1;F003|KAN1705537.1;F003|KAN1705538.1;F003|KAN1705544.1;F003|KAN1705545.1;F003|KAN1713524.1		
cluster265	11	F003|KAN1694682.1;F003|KAN1695988.1;F003|KAN1697491.1;F003|KAN1699490.1;F003|KAN1700834.1;F003|KAN1701995.1;F003|KAN1702824.1;F003|KAN1702890.1;F003|KAN1704233.1;F003|KAN1705915.1;F003|KAN1711559.1		
cluster266	11	F003|KAN1694809.1;F003|KAN1697103.1;F003|KAN1697575.1;F003|KAN1697624.1;F003|KAN1703309.1;F003|KAN1705244.1;F003|KAN1720136.1;F003|KAN1720138.1;F003|KAN1720140.1;F003|KAN1720141.1;F003|KAN1720143.1	Q0V8S9	GO:0007155; P:cell adhesion; IEA:UniProtKB-KW
cluster267	11	F003|KAN1695168.1;F003|KAN1697318.1;F003|KAN1699195.1;F003|KAN1699196.1;F003|KAN1702090.1;F003|KAN1702114.1;F003|KAN1702115.1;F003|KAN1702570.1;F003|KAN1703911.1;F003|KAN1704665.1;F003|KAN1704720.1		
cluster268	11	F003|KAN1695219.1;F003|KAN1696064.1;F003|KAN1699943.1;F003|KAN1701792.1;F003|KAN1702643.1;F003|KAN1702828.1;F003|KAN1702962.1;F003|KAN1703171.1;F003|KAN1710717.1;F003|KAN1716628.1;F003|KAN1717818.1		
cluster269	11	F003|KAN1695340.1;F003|KAN1696150.1;F003|KAN1696915.1;F003|KAN1697901.1;F003|KAN1699111.1;F003|KAN1699112.1;F003|KAN1699382.1;F003|KAN1701984.1;F003|KAN1702856.1;F003|KAN1703281.1;F003|KAN1706986.1	Q95R48	GO:0040018; P:positive regulation of multicellular organism growth; IMP:FlyBase
cluster270	11	F003|KAN1695468.1;F003|KAN1696449.1;F003|KAN1697434.1;F003|KAN1697593.1;F003|KAN1700256.1;F003|KAN1700705.1;F003|KAN1702137.1;F003|KAN1706991.1;F003|KAN1708299.1;F003|KAN1708515.1;F003|KAN1709857.1		
cluster271	11	F003|KAN1695482.1;F003|KAN1695924.1;F003|KAN1697442.1;F003|KAN1698300.1;F003|KAN1701946.1;F003|KAN1703474.1;F003|KAN1703475.1;F003|KAN1704109.1;F003|KAN1704111.1;F003|KAN1710870.1;F003|KAN1710871.1		
cluster332	10	F003|KAN1694652.1;F003|KAN1694694.1;F003|KAN1695913.1;F003|KAN1696047.1;F003|KAN1696837.1;F003|KAN1697492.1;F003|KAN1697831.1;F003|KAN1697911.1;F003|KAN1710714.1;F003|KAN1710715.1		
cluster333	10	F003|KAN1694876.1;F003|KAN1697036.1;F003|KAN1698991.1;F003|KAN1700793.1;F003|KAN1701773.1;F003|KAN1702978.1;F003|KAN1704651.1;F003|KAN1705471.1;F003|KAN1705932.1;F003|KAN1706826.1		
